"Notes"	"Region"	"Region Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"South"	"CENS-R3"	"2010"	"2010"	"65-69 years"	"65-69"	838	4787807	17.503	0.605
	"South"	"CENS-R3"	"2010"	"2010"	"70-74 years"	"70-74"	734	3576047	20.525	0.758
	"South"	"CENS-R3"	"2010"	"2010"	"75-79 years"	"75-79"	537	2737214	19.618	0.847
	"South"	"CENS-R3"	"2010"	"2010"	"80-84 years"	"80-84"	455	2045091	22.248	1.043
	"South"	"CENS-R3"	"2010"	"2010"	"85+ years"	"85+"	323	1840232	17.552	0.977
"Total"	"South"	"CENS-R3"	"2010"	"2010"			7945	114866680	6.917	0.078
	"South"	"CENS-R3"	"2011"	"2011"	"< 1 year"	"1"	72	1502386	4.792	0.565
	"South"	"CENS-R3"	"2011"	"2011"	"1-4 years"	"1-4"	292	6154201	4.745	0.278
	"South"	"CENS-R3"	"2011"	"2011"	"5-9 years"	"5-9"	290	7697771	3.767	0.221
	"South"	"CENS-R3"	"2011"	"2011"	"10-14 years"	"10-14"	227	7789423	2.914	0.193
	"South"	"CENS-R3"	"2011"	"2011"	"15-19 years"	"15-19"	202	7954927	2.539	0.179
	"South"	"CENS-R3"	"2011"	"2011"	"20-24 years"	"20-24"	178	8255507	2.156	0.162
	"South"	"CENS-R3"	"2011"	"2011"	"25-29 years"	"25-29"	229	7911501	2.895	0.191
	"South"	"CENS-R3"	"2011"	"2011"	"30-34 years"	"30-34"	273	7669351	3.560	0.215
	"South"	"CENS-R3"	"2011"	"2011"	"35-39 years"	"35-39"	304	7424994	4.094	0.235
	"South"	"CENS-R3"	"2011"	"2011"	"40-44 years"	"40-44"	340	7858506	4.327	0.235
	"South"	"CENS-R3"	"2011"	"2011"	"45-49 years"	"45-49"	474	8225422	5.763	0.265
	"South"	"CENS-R3"	"2011"	"2011"	"50-54 years"	"50-54"	596	8223686	7.247	0.297
	"South"	"CENS-R3"	"2011"	"2011"	"55-59 years"	"55-59"	793	7365017	10.767	0.382
	"South"	"CENS-R3"	"2011"	"2011"	"60-64 years "	"60-64"	877	6611090	13.266	0.448
	"South"	"CENS-R3"	"2011"	"2011"	"65-69 years"	"65-69"	829	4920127	16.849	0.585
	"South"	"CENS-R3"	"2011"	"2011"	"70-74 years"	"70-74"	653	3690851	17.692	0.692
	"South"	"CENS-R3"	"2011"	"2011"	"75-79 years"	"75-79"	598	2785940	21.465	0.878
	"South"	"CENS-R3"	"2011"	"2011"	"80-84 years"	"80-84"	429	2066689	20.758	1.002
	"South"	"CENS-R3"	"2011"	"2011"	"85+ years"	"85+"	337	1899133	17.745	0.967
"Total"	"South"	"CENS-R3"	"2011"	"2011"			7993	116006522	6.890	0.077
	"South"	"CENS-R3"	"2012"	"2012"	"< 1 year"	"1"	60	1498118	4.005	0.517
	"South"	"CENS-R3"	"2012"	"2012"	"1-4 years"	"1-4"	297	6121351	4.852	0.282
	"South"	"CENS-R3"	"2012"	"2012"	"5-9 years"	"5-9"	263	7781341	3.380	0.208
	"South"	"CENS-R3"	"2012"	"2012"	"10-14 years"	"10-14"	227	7823349	2.902	0.193
	"South"	"CENS-R3"	"2012"	"2012"	"15-19 years"	"15-19"	181	7879274	2.297	0.171
	"South"	"CENS-R3"	"2012"	"2012"	"20-24 years"	"20-24"	200	8443586	2.369	0.167
	"South"	"CENS-R3"	"2012"	"2012"	"25-29 years"	"25-29"	262	7974219	3.286	0.203
	"South"	"CENS-R3"	"2012"	"2012"	"30-34 years"	"30-34"	294	7826243	3.757	0.219
	"South"	"CENS-R3"	"2012"	"2012"	"35-39 years"	"35-39"	315	7385271	4.265	0.240
	"South"	"CENS-R3"	"2012"	"2012"	"40-44 years"	"40-44"	328	7921508	4.141	0.229
	"South"	"CENS-R3"	"2012"	"2012"	"45-49 years"	"45-49"	413	8080974	5.111	0.251
	"South"	"CENS-R3"	"2012"	"2012"	"50-54 years"	"50-54"	585	8268298	7.075	0.293
	"South"	"CENS-R3"	"2012"	"2012"	"55-59 years"	"55-59"	797	7568795	10.530	0.373
	"South"	"CENS-R3"	"2012"	"2012"	"60-64 years "	"60-64"	920	6586608	13.968	0.461
	"South"	"CENS-R3"	"2012"	"2012"	"65-69 years"	"65-69"	865	5336566	16.209	0.551
	"South"	"CENS-R3"	"2012"	"2012"	"70-74 years"	"70-74"	698	3853572	18.113	0.686
	"South"	"CENS-R3"	"2012"	"2012"	"75-79 years"	"75-79"	670	2840494	23.587	0.911
	"South"	"CENS-R3"	"2012"	"2012"	"80-84 years"	"80-84"	455	2085767	21.815	1.023
	"South"	"CENS-R3"	"2012"	"2012"	"85+ years"	"85+"	397	1965874	20.195	1.014
"Total"	"South"	"CENS-R3"	"2012"	"2012"			8227	117241208	7.017	0.077
	"South"	"CENS-R3"	"2013"	"2013"	"< 1 year"	"1"	61	1498440	4.071	0.521
	"South"	"CENS-R3"	"2013"	"2013"	"1-4 years"	"1-4"	298	6080133	4.901	0.284
	"South"	"CENS-R3"	"2013"	"2013"	"5-9 years"	"5-9"	303	7857164	3.856	0.222
	"South"	"CENS-R3"	"2013"	"2013"	"10-14 years"	"10-14"	232	7848662	2.956	0.194
	"South"	"CENS-R3"	"2013"	"2013"	"15-19 years"	"15-19"	174	7855753	2.215	0.168
	"South"	"CENS-R3"	"2013"	"2013"	"20-24 years"	"20-24"	174	8540351	2.037	0.154
	"South"	"CENS-R3"	"2013"	"2013"	"25-29 years"	"25-29"	228	8050857	2.832	0.188
	"South"	"CENS-R3"	"2013"	"2013"	"30-34 years"	"30-34"	275	7964419	3.453	0.208
	"South"	"CENS-R3"	"2013"	"2013"	"35-39 years"	"35-39"	263	7419858	3.545	0.219
	"South"	"CENS-R3"	"2013"	"2013"	"40-44 years"	"40-44"	351	7915712	4.434	0.237
	"South"	"CENS-R3"	"2013"	"2013"	"45-49 years"	"45-49"	470	7926802	5.929	0.273
	"South"	"CENS-R3"	"2013"	"2013"	"50-54 years"	"50-54"	638	8309884	7.678	0.304
	"South"	"CENS-R3"	"2013"	"2013"	"55-59 years"	"55-59"	781	7728826	10.105	0.362
	"South"	"CENS-R3"	"2013"	"2013"	"60-64 years "	"60-64"	886	6675362	13.273	0.446
	"South"	"CENS-R3"	"2013"	"2013"	"65-69 years"	"65-69"	907	5566355	16.294	0.541
	"South"	"CENS-R3"	"2013"	"2013"	"70-74 years"	"70-74"	777	4084323	19.024	0.682
	"South"	"CENS-R3"	"2013"	"2013"	"75-79 years"	"75-79"	677	2924237	23.151	0.890
	"South"	"CENS-R3"	"2013"	"2013"	"80-84 years"	"80-84"	455	2098779	21.679	1.016
	"South"	"CENS-R3"	"2013"	"2013"	"85+ years"	"85+"	409	2018483	20.263	1.002
"Total"	"South"	"CENS-R3"	"2013"	"2013"			8359	118364400	7.062	0.077
	"South"	"CENS-R3"	"2014"	"2014"	"< 1 year"	"1"	60	1519257	3.949	0.510
	"South"	"CENS-R3"	"2014"	"2014"	"1-4 years"	"1-4"	282	6091045	4.630	0.276
	"South"	"CENS-R3"	"2014"	"2014"	"5-9 years"	"5-9"	297	7877614	3.770	0.219
	"South"	"CENS-R3"	"2014"	"2014"	"10-14 years"	"10-14"	277	7885322	3.513	0.211
	"South"	"CENS-R3"	"2014"	"2014"	"15-19 years"	"15-19"	166	7861130	2.112	0.164
	"South"	"CENS-R3"	"2014"	"2014"	"20-24 years"	"20-24"	191	8568049	2.229	0.161
	"South"	"CENS-R3"	"2014"	"2014"	"25-29 years"	"25-29"	251	8220048	3.054	0.193
	"South"	"CENS-R3"	"2014"	"2014"	"30-34 years"	"30-34"	263	8062173	3.262	0.201
	"South"	"CENS-R3"	"2014"	"2014"	"35-39 years"	"35-39"	270	7527092	3.587	0.218
	"South"	"CENS-R3"	"2014"	"2014"	"40-44 years"	"40-44"	329	7852538	4.190	0.231
	"South"	"CENS-R3"	"2014"	"2014"	"45-49 years"	"45-49"	429	7808153	5.494	0.265
	"South"	"CENS-R3"	"2014"	"2014"	"50-54 years"	"50-54"	610	8353724	7.302	0.296
	"South"	"CENS-R3"	"2014"	"2014"	"55-59 years"	"55-59"	750	7855531	9.547	0.349
	"South"	"CENS-R3"	"2014"	"2014"	"60-64 years "	"60-64"	822	6827328	12.040	0.420
	"South"	"CENS-R3"	"2014"	"2014"	"65-69 years"	"65-69"	924	5824389	15.864	0.522
	"South"	"CENS-R3"	"2014"	"2014"	"70-74 years"	"70-74"	832	4270093	19.484	0.675
	"South"	"CENS-R3"	"2014"	"2014"	"75-79 years"	"75-79"	650	3025714	21.483	0.843
	"South"	"CENS-R3"	"2014"	"2014"	"80-84 years"	"80-84"	444	2116344	20.980	0.996
	"South"	"CENS-R3"	"2014"	"2014"	"85+ years"	"85+"	413	2078493	19.870	0.978
"Total"	"South"	"CENS-R3"	"2014"	"2014"			8260	119624037	6.905	0.076
	"South"	"CENS-R3"	"2015"	"2015"	"< 1 year"	"1"	61	1539827	3.961	0.507
	"South"	"CENS-R3"	"2015"	"2015"	"1-4 years"	"1-4"	276	6126695	4.505	0.271
	"South"	"CENS-R3"	"2015"	"2015"	"5-9 years"	"5-9"	294	7897399	3.723	0.217
	"South"	"CENS-R3"	"2015"	"2015"	"10-14 years"	"10-14"	206	7894576	2.609	0.182
	"South"	"CENS-R3"	"2015"	"2015"	"15-19 years"	"15-19"	194	7939894	2.443	0.175
	"South"	"CENS-R3"	"2015"	"2015"	"20-24 years"	"20-24"	191	8502933	2.246	0.163
	"South"	"CENS-R3"	"2015"	"2015"	"25-29 years"	"25-29"	218	8433088	2.585	0.175
	"South"	"CENS-R3"	"2015"	"2015"	"30-34 years"	"30-34"	297	8124993	3.655	0.212
	"South"	"CENS-R3"	"2015"	"2015"	"35-39 years"	"35-39"	282	7709778	3.658	0.218
	"South"	"CENS-R3"	"2015"	"2015"	"40-44 years"	"40-44"	334	7746990	4.311	0.236
	"South"	"CENS-R3"	"2015"	"2015"	"45-49 years"	"45-49"	442	7825240	5.648	0.269
	"South"	"CENS-R3"	"2015"	"2015"	"50-54 years"	"50-54"	624	8319844	7.500	0.300
	"South"	"CENS-R3"	"2015"	"2015"	"55-59 years"	"55-59"	805	7990407	10.075	0.355
	"South"	"CENS-R3"	"2015"	"2015"	"60-64 years "	"60-64"	878	7015566	12.515	0.422
	"South"	"CENS-R3"	"2015"	"2015"	"65-69 years"	"65-69"	984	6089635	16.159	0.515
	"South"	"CENS-R3"	"2015"	"2015"	"70-74 years"	"70-74"	803	4433597	18.112	0.639
	"South"	"CENS-R3"	"2015"	"2015"	"75-79 years"	"75-79"	628	3114449	20.164	0.805
	"South"	"CENS-R3"	"2015"	"2015"	"80-84 years"	"80-84"	456	2153487	21.175	0.992
	"South"	"CENS-R3"	"2015"	"2015"	"85+ years"	"85+"	424	2138943	19.823	0.963
"Total"	"South"	"CENS-R3"	"2015"	"2015"			8397	120997341	6.940	0.076
	"South"	"CENS-R3"	"2016"	"2016"	"< 1 year"	"1"	65	1535845	4.232	0.525
	"South"	"CENS-R3"	"2016"	"2016"	"1-4 years"	"1-4"	310	6171657	5.023	0.285
	"South"	"CENS-R3"	"2016"	"2016"	"5-9 years"	"5-9"	293	7908419	3.705	0.216
	"South"	"CENS-R3"	"2016"	"2016"	"10-14 years"	"10-14"	227	7936849	2.860	0.190
	"South"	"CENS-R3"	"2016"	"2016"	"15-19 years"	"15-19"	187	8024077	2.330	0.170
	"South"	"CENS-R3"	"2016"	"2016"	"20-24 years"	"20-24"	158	8384721	1.884	0.150
	"South"	"CENS-R3"	"2016"	"2016"	"25-29 years"	"25-29"	217	8657121	2.507	0.170
	"South"	"CENS-R3"	"2016"	"2016"	"30-34 years"	"30-34"	288	8204074	3.510	0.207
	"South"	"CENS-R3"	"2016"	"2016"	"35-39 years"	"35-39"	272	7910408	3.439	0.208
	"South"	"CENS-R3"	"2016"	"2016"	"40-44 years"	"40-44"	320	7596092	4.213	0.235
	"South"	"CENS-R3"	"2016"	"2016"	"45-49 years"	"45-49"	405	7943456	5.099	0.253
	"South"	"CENS-R3"	"2016"	"2016"	"50-54 years"	"50-54"	650	8207226	7.920	0.311
	"South"	"CENS-R3"	"2016"	"2016"	"55-59 years"	"55-59"	831	8107836	10.249	0.356
	"South"	"CENS-R3"	"2016"	"2016"	"60-64 years "	"60-64"	964	7194882	13.398	0.432
	"South"	"CENS-R3"	"2016"	"2016"	"65-69 years"	"65-69"	1080	6373743	16.945	0.516
	"South"	"CENS-R3"	"2016"	"2016"	"70-74 years"	"70-74"	815	4568305	17.840	0.625
	"South"	"CENS-R3"	"2016"	"2016"	"75-79 years"	"75-79"	670	3228678	20.752	0.802
	"South"	"CENS-R3"	"2016"	"2016"	"80-84 years"	"80-84"	461	2200975	20.945	0.976
	"South"	"CENS-R3"	"2016"	"2016"	"85+ years"	"85+"	367	2197396	16.702	0.872
"Total"	"South"	"CENS-R3"	"2016"	"2016"			8580	122351760	7.013	0.076
	"South"	"CENS-R3"	"2017"	"2017"	"< 1 year"	"1"	59	1513978	3.897	0.507
	"South"	"CENS-R3"	"2017"	"2017"	"1-4 years"	"1-4"	293	6208968	4.719	0.276
	"South"	"CENS-R3"	"2017"	"2017"	"5-9 years"	"5-9"	314	7878591	3.985	0.225
	"South"	"CENS-R3"	"2017"	"2017"	"10-14 years"	"10-14"	243	8029492	3.026	0.194
	"South"	"CENS-R3"	"2017"	"2017"	"15-19 years"	"15-19"	186	8063469	2.307	0.169
	"South"	"CENS-R3"	"2017"	"2017"	"20-24 years"	"20-24"	150	8292839	1.809	0.148
	"South"	"CENS-R3"	"2017"	"2017"	"25-29 years"	"25-29"	225	8824611	2.550	0.170
	"South"	"CENS-R3"	"2017"	"2017"	"30-34 years"	"30-34"	265	8261129	3.208	0.197
	"South"	"CENS-R3"	"2017"	"2017"	"35-39 years"	"35-39"	331	8067816	4.103	0.226
	"South"	"CENS-R3"	"2017"	"2017"	"40-44 years"	"40-44"	284	7562701	3.755	0.223
	"South"	"CENS-R3"	"2017"	"2017"	"45-49 years"	"45-49"	397	8012963	4.954	0.249
	"South"	"CENS-R3"	"2017"	"2017"	"50-54 years"	"50-54"	541	8073088	6.701	0.288
	"South"	"CENS-R3"	"2017"	"2017"	"55-59 years"	"55-59"	791	8160109	9.693	0.345
	"South"	"CENS-R3"	"2017"	"2017"	"60-64 years "	"60-64"	930	7394233	12.577	0.412
	"South"	"CENS-R3"	"2017"	"2017"	"65-69 years"	"65-69"	1001	6351856	15.759	0.498
	"South"	"CENS-R3"	"2017"	"2017"	"70-74 years"	"70-74"	925	4971730	18.605	0.612
	"South"	"CENS-R3"	"2017"	"2017"	"75-79 years"	"75-79"	697	3377197	20.638	0.782
	"South"	"CENS-R3"	"2017"	"2017"	"80-84 years"	"80-84"	489	2248864	21.744	0.983
	"South"	"CENS-R3"	"2017"	"2017"	"85+ years"	"85+"	364	2248555	16.188	0.848
"Total"	"South"	"CENS-R3"	"2017"	"2017"			8485	123542189	6.868	0.075
	"South"	"CENS-R3"	"2018"	"2018"	"< 1 year"	"1"	35	1489021	2.351	0.397
	"South"	"CENS-R3"	"2018"	"2018"	"1-4 years"	"1-4"	231	6215261	3.717	0.245
	"South"	"CENS-R3"	"2018"	"2018"	"5-9 years"	"5-9"	269	7842985	3.430	0.209
	"South"	"CENS-R3"	"2018"	"2018"	"10-14 years"	"10-14"	226	8112720	2.786	0.185
	"South"	"CENS-R3"	"2018"	"2018"	"15-19 years"	"15-19"	187	8083865	2.313	0.169
	"South"	"CENS-R3"	"2018"	"2018"	"20-24 years"	"20-24"	156	8235411	1.894	0.152
	"South"	"CENS-R3"	"2018"	"2018"	"25-29 years"	"25-29"	238	8896345	2.675	0.173
	"South"	"CENS-R3"	"2018"	"2018"	"30-34 years"	"30-34"	282	8327869	3.386	0.202
	"South"	"CENS-R3"	"2018"	"2018"	"35-39 years"	"35-39"	279	8209300	3.399	0.203
	"South"	"CENS-R3"	"2018"	"2018"	"40-44 years"	"40-44"	326	7600602	4.289	0.238
	"South"	"CENS-R3"	"2018"	"2018"	"45-49 years"	"45-49"	425	8012149	5.304	0.257
	"South"	"CENS-R3"	"2018"	"2018"	"50-54 years"	"50-54"	555	7931375	6.998	0.297
	"South"	"CENS-R3"	"2018"	"2018"	"55-59 years"	"55-59"	796	8211442	9.694	0.344
	"South"	"CENS-R3"	"2018"	"2018"	"60-64 years "	"60-64"	904	7555123	11.965	0.398
	"South"	"CENS-R3"	"2018"	"2018"	"65-69 years"	"65-69"	1070	6443700	16.605	0.508
	"South"	"CENS-R3"	"2018"	"2018"	"70-74 years"	"70-74"	931	5196648	17.915	0.587
	"South"	"CENS-R3"	"2018"	"2018"	"75-79 years"	"75-79"	737	3590237	20.528	0.756
	"South"	"CENS-R3"	"2018"	"2018"	"80-84 years"	"80-84"	471	2322860	20.277	0.934
	"South"	"CENS-R3"	"2018"	"2018"	"85+ years"	"85+"	385	2292520	16.794	0.856
"Total"	"South"	"CENS-R3"	"2018"	"2018"			8503	124569433	6.826	0.074
"Total"	"South"	"CENS-R3"					153344	2228614276	6.881	0.018
	"West"	"CENS-R4"	"1999"	"1999"	"< 1 year"	"1"	30	905118	3.314	0.605
	"West"	"CENS-R4"	"1999"	"1999"	"1-4 years"	"1-4"	143	3678327	3.888	0.325
	"West"	"CENS-R4"	"1999"	"1999"	"5-9 years"	"5-9"	160	4912605	3.257	0.257
	"West"	"CENS-R4"	"1999"	"1999"	"10-14 years"	"10-14"	132	4662272	2.831	0.246
	"West"	"CENS-R4"	"1999"	"1999"	"15-19 years"	"15-19"	83	4579442	1.812	0.199
	"West"	"CENS-R4"	"1999"	"1999"	"20-24 years"	"20-24"	96	4321070	2.222	0.227
	"West"	"CENS-R4"	"1999"	"1999"	"25-29 years"	"25-29"	156	4618076	3.378	0.270
	"West"	"CENS-R4"	"1999"	"1999"	"30-34 years"	"30-34"	183	4812325	3.803	0.281
	"West"	"CENS-R4"	"1999"	"1999"	"35-39 years"	"35-39"	218	5162811	4.223	0.286
	"West"	"CENS-R4"	"1999"	"1999"	"40-44 years"	"40-44"	258	4940898	5.222	0.325
	"West"	"CENS-R4"	"1999"	"1999"	"45-49 years"	"45-49"	272	4368636	6.226	0.378
	"West"	"CENS-R4"	"1999"	"1999"	"50-54 years"	"50-54"	308	3687931	8.352	0.476
	"West"	"CENS-R4"	"1999"	"1999"	"55-59 years"	"55-59"	300	2748545	10.915	0.630
	"West"	"CENS-R4"	"1999"	"1999"	"60-64 years "	"60-64"	296	2184487	13.550	0.788
	"West"	"CENS-R4"	"1999"	"1999"	"65-69 years"	"65-69"	364	1912118	19.036	0.998
	"West"	"CENS-R4"	"1999"	"1999"	"70-74 years"	"70-74"	365	1742421	20.948	1.096
	"West"	"CENS-R4"	"1999"	"1999"	"75-79 years"	"75-79"	351	1462440	24.001	1.281
	"West"	"CENS-R4"	"1999"	"1999"	"80-84 years"	"80-84"	208	948726	21.924	1.520
	"West"	"CENS-R4"	"1999"	"1999"	"85+ years"	"85+"	107	783624	13.655	1.320
"Total"	"West"	"CENS-R4"	"1999"	"1999"			4030	62431872	6.455	0.102
	"West"	"CENS-R4"	"2000"	"2000"	"< 1 year"	"1"	25	920904	2.715	0.543
	"West"	"CENS-R4"	"2000"	"2000"	"1-4 years"	"1-4"	123	3667562	3.354	0.302
	"West"	"CENS-R4"	"2000"	"2000"	"5-9 years"	"5-9"	150	4890593	3.067	0.250
	"West"	"CENS-R4"	"2000"	"2000"	"10-14 years"	"10-14"	118	4800009	2.458	0.226
	"West"	"CENS-R4"	"2000"	"2000"	"15-19 years"	"15-19"	105	4664256	2.251	0.220
	"West"	"CENS-R4"	"2000"	"2000"	"20-24 years"	"20-24"	101	4496550	2.246	0.224
	"West"	"CENS-R4"	"2000"	"2000"	"25-29 years"	"25-29"	139	4609239	3.016	0.256
	"West"	"CENS-R4"	"2000"	"2000"	"30-34 years"	"30-34"	168	4796741	3.502	0.270
	"West"	"CENS-R4"	"2000"	"2000"	"35-39 years"	"35-39"	225	5114916	4.399	0.293
	"West"	"CENS-R4"	"2000"	"2000"	"40-44 years"	"40-44"	226	5017575	4.504	0.300
	"West"	"CENS-R4"	"2000"	"2000"	"45-49 years"	"45-49"	269	4506912	5.969	0.364
	"West"	"CENS-R4"	"2000"	"2000"	"50-54 years"	"50-54"	334	3891129	8.584	0.470
	"West"	"CENS-R4"	"2000"	"2000"	"55-59 years"	"55-59"	306	2873723	10.648	0.609
	"West"	"CENS-R4"	"2000"	"2000"	"60-64 years "	"60-64"	289	2239208	12.906	0.759
	"West"	"CENS-R4"	"2000"	"2000"	"65-69 years"	"65-69"	319	1918424	16.628	0.931
	"West"	"CENS-R4"	"2000"	"2000"	"70-74 years"	"70-74"	308	1750481	17.595	1.003
	"West"	"CENS-R4"	"2000"	"2000"	"75-79 years"	"75-79"	314	1491608	21.051	1.188
	"West"	"CENS-R4"	"2000"	"2000"	"80-84 years"	"80-84"	251	977298	25.683	1.621
	"West"	"CENS-R4"	"2000"	"2000"	"85+ years"	"85+"	141	812008	17.364	1.462
"Total"	"West"	"CENS-R4"	"2000"	"2000"			3911	63439136	6.165	0.099
	"West"	"CENS-R4"	"2001"	"2001"	"< 1 year"	"1"	34	971284	3.501	0.600
	"West"	"CENS-R4"	"2001"	"2001"	"1-4 years"	"1-4"	142	3648955	3.892	0.327
	"West"	"CENS-R4"	"2001"	"2001"	"5-9 years"	"5-9"	160	4824405	3.316	0.262
	"West"	"CENS-R4"	"2001"	"2001"	"10-14 years"	"10-14"	136	4914573	2.767	0.237
	"West"	"CENS-R4"	"2001"	"2001"	"15-19 years"	"15-19"	89	4710175	1.890	0.200
	"West"	"CENS-R4"	"2001"	"2001"	"20-24 years"	"20-24"	99	4696059	2.108	0.212
	"West"	"CENS-R4"	"2001"	"2001"	"25-29 years"	"25-29"	132	4556886	2.897	0.252
	"West"	"CENS-R4"	"2001"	"2001"	"30-34 years"	"30-34"	175	4874226	3.590	0.271
	"West"	"CENS-R4"	"2001"	"2001"	"35-39 years"	"35-39"	194	5042803	3.847	0.276
	"West"	"CENS-R4"	"2001"	"2001"	"40-44 years"	"40-44"	253	5093365	4.967	0.312
	"West"	"CENS-R4"	"2001"	"2001"	"45-49 years"	"45-49"	279	4624681	6.033	0.361
	"West"	"CENS-R4"	"2001"	"2001"	"50-54 years"	"50-54"	328	4107276	7.986	0.441
	"West"	"CENS-R4"	"2001"	"2001"	"55-59 years"	"55-59"	319	2996501	10.646	0.596
	"West"	"CENS-R4"	"2001"	"2001"	"60-64 years "	"60-64"	311	2319191	13.410	0.760
	"West"	"CENS-R4"	"2001"	"2001"	"65-69 years"	"65-69"	279	1940797	14.376	0.861
	"West"	"CENS-R4"	"2001"	"2001"	"70-74 years"	"70-74"	350	1754519	19.948	1.066
	"West"	"CENS-R4"	"2001"	"2001"	"75-79 years"	"75-79"	319	1499801	21.269	1.191
	"West"	"CENS-R4"	"2001"	"2001"	"80-84 years"	"80-84"	188	1020186	18.428	1.344
	"West"	"CENS-R4"	"2001"	"2001"	"85+ years"	"85+"	170	831644	20.441	1.568
"Total"	"West"	"CENS-R4"	"2001"	"2001"			3957	64427327	6.142	0.098
	"West"	"CENS-R4"	"2002"	"2002"	"< 1 year"	"1"	43	960797	4.475	0.682
	"West"	"CENS-R4"	"2002"	"2002"	"1-4 years"	"1-4"	148	3697088	4.003	0.329
	"West"	"CENS-R4"	"2002"	"2002"	"5-9 years"	"5-9"	164	4746623	3.455	0.270
	"West"	"CENS-R4"	"2002"	"2002"	"10-14 years"	"10-14"	137	5015210	2.732	0.233
	"West"	"CENS-R4"	"2002"	"2002"	"15-19 years"	"15-19"	113	4756839	2.376	0.223
	"West"	"CENS-R4"	"2002"	"2002"	"20-24 years"	"20-24"	114	4841604	2.355	0.221
	"West"	"CENS-R4"	"2002"	"2002"	"25-29 years"	"25-29"	141	4561178	3.091	0.260
	"West"	"CENS-R4"	"2002"	"2002"	"30-34 years"	"30-34"	183	4905545	3.730	0.276
	"West"	"CENS-R4"	"2002"	"2002"	"35-39 years"	"35-39"	206	4951181	4.161	0.290
	"West"	"CENS-R4"	"2002"	"2002"	"40-44 years"	"40-44"	269	5129225	5.244	0.320
	"West"	"CENS-R4"	"2002"	"2002"	"45-49 years"	"45-49"	287	4754771	6.036	0.356
	"West"	"CENS-R4"	"2002"	"2002"	"50-54 years"	"50-54"	332	4149634	8.001	0.439
	"West"	"CENS-R4"	"2002"	"2002"	"55-59 years"	"55-59"	340	3274270	10.384	0.563
	"West"	"CENS-R4"	"2002"	"2002"	"60-64 years "	"60-64"	344	2422822	14.198	0.766
	"West"	"CENS-R4"	"2002"	"2002"	"65-69 years"	"65-69"	316	1976446	15.988	0.899
	"West"	"CENS-R4"	"2002"	"2002"	"70-74 years"	"70-74"	377	1754204	21.491	1.107
	"West"	"CENS-R4"	"2002"	"2002"	"75-79 years"	"75-79"	323	1501094	21.518	1.197
	"West"	"CENS-R4"	"2002"	"2002"	"80-84 years"	"80-84"	205	1063441	19.277	1.346
	"West"	"CENS-R4"	"2002"	"2002"	"85+ years"	"85+"	171	850226	20.112	1.538
"Total"	"West"	"CENS-R4"	"2002"	"2002"			4213	65312198	6.451	0.099
	"West"	"CENS-R4"	"2003"	"2003"	"< 1 year"	"1"	35	974904	3.590	0.607
	"West"	"CENS-R4"	"2003"	"2003"	"1-4 years"	"1-4"	138	3744060	3.686	0.314
	"West"	"CENS-R4"	"2003"	"2003"	"5-9 years"	"5-9"	159	4675196	3.401	0.270
	"West"	"CENS-R4"	"2003"	"2003"	"10-14 years"	"10-14"	133	5076838	2.620	0.227
	"West"	"CENS-R4"	"2003"	"2003"	"15-19 years"	"15-19"	101	4818554	2.096	0.209
	"West"	"CENS-R4"	"2003"	"2003"	"20-24 years"	"20-24"	110	4923319	2.234	0.213
	"West"	"CENS-R4"	"2003"	"2003"	"25-29 years"	"25-29"	146	4599298	3.174	0.263
	"West"	"CENS-R4"	"2003"	"2003"	"30-34 years"	"30-34"	184	4879553	3.771	0.278
	"West"	"CENS-R4"	"2003"	"2003"	"35-39 years"	"35-39"	168	4873364	3.447	0.266
	"West"	"CENS-R4"	"2003"	"2003"	"40-44 years"	"40-44"	255	5144815	4.956	0.310
	"West"	"CENS-R4"	"2003"	"2003"	"45-49 years"	"45-49"	289	4855687	5.952	0.350
	"West"	"CENS-R4"	"2003"	"2003"	"50-54 years"	"50-54"	345	4258649	8.101	0.436
	"West"	"CENS-R4"	"2003"	"2003"	"55-59 years"	"55-59"	381	3454434	11.029	0.565
	"West"	"CENS-R4"	"2003"	"2003"	"60-64 years "	"60-64"	351	2569924	13.658	0.729
	"West"	"CENS-R4"	"2003"	"2003"	"65-69 years"	"65-69"	340	2034251	16.714	0.906
	"West"	"CENS-R4"	"2003"	"2003"	"70-74 years"	"70-74"	361	1755166	20.568	1.083
	"West"	"CENS-R4"	"2003"	"2003"	"75-79 years"	"75-79"	345	1505043	22.923	1.234
	"West"	"CENS-R4"	"2003"	"2003"	"80-84 years"	"80-84"	212	1094296	19.373	1.331
	"West"	"CENS-R4"	"2003"	"2003"	"85+ years"	"85+"	154	878987	17.520	1.412
"Total"	"West"	"CENS-R4"	"2003"	"2003"			4207	66116338	6.363	0.098
	"West"	"CENS-R4"	"2004"	"2004"	"< 1 year"	"1"	46	981410	4.687	0.691
	"West"	"CENS-R4"	"2004"	"2004"	"1-4 years"	"1-4"	147	3803750	3.865	0.319
	"West"	"CENS-R4"	"2004"	"2004"	"5-9 years"	"5-9"	151	4622832	3.266	0.266
	"West"	"CENS-R4"	"2004"	"2004"	"10-14 years"	"10-14"	124	5102177	2.430	0.218
